foodcode,description
73405023,"Sweet potato, boiled, made with margarine"
75218499,"Lotus root, cooked, NS as to fat added in cooking"
57231250,Cereal (Post Great Grains Double Pecan Whole Grain Cereal)
53233100,"Cookie, oatmeal, with chocolate and peanut butter, no bake"
75604020,"Corn soup, cream of, prepared with water"
14640100,"Grilled cheese sandwich, NFS"
55103020,"Pancakes, pumpkin"
76409000,"Peas, baby food, NS as to strained or junior"
67109000,"Pears, baby food, NS as to strained or junior"
51301540,"Bread, French or Vienna, whole wheat"
24100010,"Chicken, NS as to part and cooking method, skin eaten"
27150060,Lobster newburg
58165470,"Rice, brown, with vegetables, soy-based sauce, fat not added in cooking"
51301820,"Bagel, wheat, with fruit and nuts"
75316024,"Squash, summer, yellow or green, and onions, cooked, made with margarine"
52220110,Arepa Dominicana
28320130,"Ham, rice, and potato soup, Puerto Rican style"
91726150,MARS Almond Bar
27540296,Buffalo chicken submarine sandwich with cheese
75225015,"Pigeon peas, cooked, NS as to form, fat added in cooking"
57305150,"Cereal, frosted oat cereal with marshmallows"
75205033,"Beans, string, green, cooked, from canned, fat added in cooking, NS as to type of fat"
27213120,Porcupine balls with tomato-based sauce
28355310,Oyster stew
73405021,"Sweet potato, boiled, made with oil"
75212021,"Cabbage, red, cooked, made with oil"
27336200,"Venison or deer, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy"
27360010,"Goulash, NFS"
27642130,"Turkey, rice, and vegetables, baby food, toddler"
11720417,"Infant formula, powder, made with tap water (Similac Isomil Soy)"
58151450,"Sushi, topped with egg"
53430000,"Crepe, NS as to filling"
75340200,"Jai, Monk's Food"
41205030,Refried beans with meat
64134100,"Fruit smoothie, light"
58100535,"Enchilada with meat, green-chile or enchilada sauce"
75215030,"Celery, cooked, made with oil"
13140660,"Light ice cream, sundae, soft serve, chocolate or fudge topping, without whipped cream"
11514350,"Hot chocolate / Cocoa, made with no sugar added dry mix and fat free milk"
53410900,"Cobbler, rhubarb"
14640034,"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise"
26119121,"Herring, baked or broiled, fat not added in cooking"
72203050,"Broccoli, chinese cooked, from fresh, fat not added in cooking"
53228000,"Cookie, meringue"
71702000,Potato pudding
27564330,"Frankfurter or hot dog sandwich, reduced fat or light, plain, on whole wheat bread"
71970130,"Starchy vegetables, including tannier, white sweet potato and yam, no plantain, Puerto Rican style"
11710914,"Infant formula, liquid concentrate, made with tap water (Gerber Good Start Gentle)"
58165400,"Rice, brown, with vegetables, cheese and/or cream based sauce, NS as to fat added in cooking"
58403100,"Noodle and potato soup, Puerto Rican style"
75141025,"Cabbage salad or coleslaw, made with light Italian dressing"
56205090,"Rice, cream of, cooked, fat added in cooking"
27564062,"Frankfurter or hot dog sandwich, beef, plain, on whole wheat bun"
75219003,"Mushrooms, cooked, from canned, NS as to fat added in cooking"
75601000,"Asparagus soup, cream of, NS as to made with milk or water"
26107143,"Catfish, coated, fried, made without fat"
73211110,"Sweet potato and pumpkin casserole, Puerto Rican style"
75221020,"Onions, cooked, NS as to form, fat added in cooking, NS as to type of fat"
75417022,"Peas, cooked, from frozen, with mushroom sauce"
63219110,"Raspberries, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener"
53420310,"Wheat flour fritter, without syrup"
93301110,Martini
82105500,Rapeseed oil
57106260,Cereal (General Mills Cheerios Berry Burst)
27415120,"Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce"
72104100,"Chard, raw"
27564090,"Frankfurter or hot dog sandwich, beef, plain, on whole wheat bread"
58157320,"Congee, with vegetables"
57326000,Cereal (Barbara's Puffins)
27450450,"Shrimp creole, no rice"
28355260,Lobster gumbo
25170210,"Chitterlings, cooked"
73401000,"Sweet potato, NFS"
75316050,Ratatouille
95201200,Nutritional powder mix (EAS Whey Protein Powder)
24202020,"Turkey, drumstick, cooked, skin eaten"
58161490,"Rice, brown, with dark green vegetables and tomatoes and/or tomato-based sauce, NS as to fat added in cooking"
58145113,"Macaroni or noodles with cheese, canned"
56205205,"Rice, wild, 100%, cooked, NS as to fat added in cooking"
57209000,Cereal (Post Bran Flakes)
58148118,"Macaroni or pasta salad, made with any type of fat free dressing"
63223120,"Strawberries, cooked or canned, unsweetened, water pack"
32400060,"Egg white omelet, scrambled, or fried, made with margarine"
25110420,"Chicken liver, braised"
26100123,"Fish, NS as to type, baked or broiled, made without fat"
27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
27510501,"Hamburger, 1 miniature patty, plain, on miniature bun, from fast food / restaurant"
91770030,"Dietetic or low calorie candy, chocolate covered"
63135630,"Peach, frozen, with sugar"
58145120,Macaroni or noodles with cheese and tuna
32400120,"Egg white, omelet, scrambled, or fried, with cheese, NS as to fat added in cooking"
53270100,"Cookies, Puerto Rican style"
76209020,"Sweet potatoes, baby food, junior"
82103500,Flaxseed oil
11460200,"Yogurt, frozen, chocolate, nonfat milk"
75225014,"Pigeon peas, cooked, NS as to form, NS as to fat added in cooking"
26105160,"Carp, steamed or poached"
32400210,"Egg white, omelet, scrambled, or fried, with meat, fat not added in cooking"
24137310,"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten"
75311031,"Mixed vegetables, cooked, from canned, made with butter"
11460410,"Yogurt, frozen, flavors other than chocolate, nonfat milk, with low-calorie sweetener"
75209011,"Brussels sprouts, cooked, from fresh, fat not added in cooking"
91511030,"Gelatin dessert, dietetic, with whipped topping, sweetened with low calorie sweetener"
81104110,"Margarine like spread, fat free, liquid, salted"
92613510,Cornmeal beverage with chocolate milk
72119228,"Kale, cooked, from fresh, made with butter"
11710053,"Infant formula, powder, made with water, NFS (Similac Expert Care Alimentum)"
67114010,"Pears and pineapple, baby food, strained"
57305600,Cereal (Malt-O-Meal Marshmallow Mateys)
81104050,"Margarine like spread, reduced calorie, about 20% fat, tub, salted"
42202130,"Peanut butter, lower sugar"
73103000,"Carrots, canned, low sodium, NS as to fat added in cooking"
75205110,"Beans, string, green, canned, low sodium, NS as to fat added in cooking"
63137050,"Pear, Japanese, raw"
71104040,"Potato, roasted, from fresh, peel eaten, NS as to fat added in cooking"
73405000,"Sweet potato, boiled, NS as to fat added in cooking"
27415170,Kung Pao beef
75205043,"Beans, string, green, cooked, NS as to form, made with margarine"
53111000,"Cake or cupcake, gingerbread"
58148160,Macaroni or pasta salad with tuna and egg
24201030,"Turkey, light meat, skin eaten"
58146411,"Pasta with cream sauce, meat, and added vegetables, restaurant"
32400110,"Egg white, omelet, scrambled, or fried, with cheese, fat not added in cooking"
75225010,"Pigeon peas, cooked, NS as to form, fat not added in cooking"
53308000,"Pie, pineapple, two crust"
75450500,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with cream sauce"
11541130,"Milk shake, home recipe, chocolate, light"
26133121,"Porgy, baked or broiled, fat not added in cooking"
27510587,"Hamburger, 1 small patty, with condiments, on whole wheat bun"
26100170,"Fish, NS as to type, dried"
11710000,"Infant formula, NFS"
14107250,"Cheese, Muenster, reduced fat"
75219100,"Mushroom, Asian, cooked, from dried"
73102225,"Carrots, cooked, from frozen, made with butter"
31106000,"Egg, whole, baked, NS as to fat added in cooking"
14640050,"Cheese sandwich, American cheese, on white bread, with butter"
27420460,"Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce"
26313110,"Mussels, cooked, NS as to cooking method"
24157311,"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked"
51109040,"Bread, Italian, Grecian, Armenian, toasted"
71104150,"Potato, roasted, from fresh, peel not eaten, made with margarine"
58201045,"Jelly sandwich, reduced sugar jelly, on wheat bread"
75231031,"Snowpea, cooked, from frozen, made with margarine"
75315200,"Peas and mushrooms, cooked, NS as to fat added in cooking"
71901110,"Fried green plantain, Puerto Rican style"
32130620,"Egg omelet or scrambled egg, with cheese and tomatoes, NS as to fat added in cooking"
27446355,"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing"
73102228,"Carrots, cooked, from canned, made with butter"
27510575,"Hamburger, 1 small patty, plain, on white bun"
11513000,"Chocolate milk, made from dry mix, NS as to type of milk"
27213010,Biryani with meat
67408500,"Banana yogurt dessert, baby food, strained"
72125225,"Spinach, cooked, from frozen, made with butter"
41101070,"Beans, canned, drained, NS as to type, fat not added in cooking"
58107050,"Pizza, no cheese, thin crust"
58100725,"Enchilada with beans, green-chile or enchilada sauce"
75205001,"Beans, string, cooked, from fresh, NS as to color, NS as to fat added in cooking"
41102260,"Fava beans, canned, drained, fat added in cooking"
67104020,"Applesauce and apricots, baby food, junior"
83204030,"Mayonnaise, reduced fat,  with olive oil"
23205020,"Veal cutlet or steak, fried, lean and fat eaten"
22000300,"Pork, NS as to cut, breaded or floured, fried, NS as to fat eaten"
75439010,Vegetable stew without meat
91705500,"Mexican chocolate, tablet"
93301030,Bloody Mary
24147401,"Chicken drumstick, baked, coated, skin / coating not eaten"
71603050,"Potato salad, made with any type of fat free dressing"
71945010,"Yam, cooked, Puerto Rican"
67307010,"Apricots, baby food, strained"
26315130,"Oysters, steamed"
26115120,"Flounder, baked or broiled, made with oil"
58164530,"Rice, white, with gravy, NS as to fat added in cooking"
53313000,"Pie, strawberry-rhubarb, two crust"
92804000,Shirley Temple
24208000,"Turkey, nuggets"
94210300,"Water, bottled, flavored (SoBe Life Water)"
63223130,"Strawberries, cooked or canned, in syrup"
75216722,"Cucumber, cooked, made with butter"
56203180,"Oatmeal, instant, other flavors, fat added in cooking"
27250130,Shrimp and noodles with cheese sauce
56203077,"Oatmeal, regular or quick, made with non-dairy milk, fat added in cooking"
14640026,"Cheese sandwich, American cheese, on white bread, with mayonnaise"
27350080,"Tuna noodle casserole with vegetables, cream or white sauce"
75213100,"Cactus, cooked, NS as to fat added in cooking"
32130460,"Egg omelet or scrambled egg, with tomatoes and dark-green vegetables, fat added in cooking"
56207210,"Whole wheat cereal, cooked, fat added in cooking"
63402980,"Fruit salad, excluding citrus fruits, with marshmallows"
63402970,"Fruit salad, excluding citrus fruits, with nondairy whipped topping"
72104210,"Chard, cooked, fat not added in cooking"
72118201,"Greens, cooked, from fresh, NS as to fat added in cooking"
73405022,"Sweet potato, boiled, made with butter"
75216011,"Corn, cooked, from fresh, NS as to color, fat not added in cooking"
58161524,"Rice, brown, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, fat added in cooking"
14640054,"Cheese sandwich, American cheese, on whole wheat bread, with butter"
31105085,"Egg, whole, fried, NS as to type of fat"
93301170,Whiskey and soda
75401011,"Asparagus, from fresh, creamed or with cheese sauce"
72125231,"Spinach, from fresh, creamed"
58146613,"Pasta, whole grain, with tomato-based sauce and added vegetables, ready-to-heat"
26131160,"Pompano, steamed or poached"
58163450,Spanish rice with ground beef
75223030,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from frozen, made with oil"
71104140,"Potato, roasted, from fresh, peel not eaten, made with butter"
73410500,"Sweet potato fries, school"
92130020,"Coffee, pre-sweetened with sugar"
62125110,"Raisins, cooked"
75218400,"Leek, cooked, NS as to fat added in cooking"
75224020,"Peas, green, cooked, NS as to form, fat not added in cooking"
75302011,"Beans, string, green, with tomatoes, cooked, fat added in cooking"
73410330,"Sweet potato fries, from fresh, fried"
26139190,"Sardines, skinless, boneless, packed in water"
27313210,"Beef, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
73410300,"Sweet potato fries, NS as to fresh or frozen"
51187020,Anisette toast
53236000,"Cookie, Pizzelle"
14410210,"Cheese, American, reduced sodium"
26153122,"Tuna, fresh, baked or broiled, fat not added in cooking"
41101112,"White beans, dry, cooked, made with animal fat or meat drippings"
27510150,"Cheeseburger, 1 miniature patty, on miniature bun, from school"
75142500,"Cucumber salad, made with sour cream dressing"
53710802,Cereal or granola bar (Kashi Crunchy)
73111227,"Peas and carrots, cooked, from fresh, made with oil"
41601200,"Liquid from stewed kidney beans, Puerto Rican style"
92101926,"Frozen coffee drink, nonfat, with whipped cream"
75440400,"Vegetables, dipped in chick-pea flour batter, fried, Pakora"
53102800,"Cake or cupcake, Black Forest"
73111235,"Peas and carrots, cooked, from canned, made with margarine"
75221031,"Onions, pearl, cooked, from fresh"
72201220,"Broccoli, cooked, NS as to form, fat added in cooking, NS as to type of fat"
27341040,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce"
27464000,"Gumbo, no rice"
32130610,"Egg omelet or scrambled egg, with cheese and tomatoes, fat not added in cooking"
27515040,"Steak and cheese submarine sandwich, plain, on roll"
27446235,"Chicken or turkey salad, made with light mayonnaise-type salad dressing"
41302010,"Chickpeas, dry, cooked, fat added in cooking, NS as to type of fat"
63201600,"Blackberries, frozen"
58137250,Pad Thai with meat
11830100,"Hot chocolate / Cocoa, dry mix, not reconstituted"
75301121,"Beans, lima and corn, cooked, made with oil"
93301160,Whiskey sour
51630100,"Bagel, multigrain, with raisins"
63115130,"Cherries, sweet, cooked or canned, in heavy syrup"
41108020,"Mung beans, dry, cooked, NS as to fat added in cooking"
51300310,"Bread, sprouted wheat, toasted"
93301000,"Cocktail, NFS"
53347600,"Pie, squash"
58148112,"Macaroni or pasta salad, made with mayonnaise-type salad dressing"
32400320,"Egg white, omelet, scrambled, or fried, with vegetables, NS as to fat added in cooking"
27446400,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cheese sauce"
22705010,"Pork ears, tail, head, snout, miscellaneous parts, cooked"
22621100,"Fat back, cooked"
75450510,"Vegetable combination, excluding carrots, broccoli, and dark-green leafy; cooked, with cream sauce"
75460800,"Vegetable combinations, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce and pasta"
75216003,"Corn, cooked, from canned, NS as to color, NS as to fat added in cooking"
54308000,"Crackers, milk"
54403091,"Popcorn, ready-to-eat packaged, kettle corn, light"
27341060,"Chicken or turkey, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce"
28340130,"Chicken or turkey broth, with tomato, home recipe"
56203106,"Oatmeal, instant, plain, made with non-dairy milk, fat not added in cooking"
57125900,Cereal (General Mills Honey Nut Clusters)
63135610,"Peach, frozen, NS as to added sweetener"
63115150,"Cherries, sweet, cooked or canned, drained solids"
27311210,"Corned beef, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce"
24201510,"Turkey, light or dark meat, smoked, skin eaten"
13121100,"Ice cream sundae, fruit topping, with whipped cream"
51161280,"Pan Dulce, with raisins and icing"
26133140,"Porgy, coated, fried"
92102602,"Coffee, Iced Cafe Mocha, with non-dairy milk"
73407050,"Sweet potato, canned, fat not added in cooking"
14630200,Cheese souffle
91301082,"Chocolate syrup, thin type, sugar free"
62121100,"Plum, rock salt, dried"
72201252,"Broccoli, cooked, from frozen, with cream sauce"
24201220,"Turkey, dark meat, roasted, skin not eaten"
11513803,"Chocolate milk, made from light syrup with low fat milk"
13130320,"Light ice cream, no sugar added, NS as to flavor"
11513100,"Chocolate milk, made from dry mix with whole milk"
75205003,"Beans, string, cooked, from canned, NS as to color, NS as to fat added in cooking"
23120120,"Lamb, roast, cooked, lean only eaten"
24400010,"Cornish game hen, cooked, skin eaten"
27135110,Veal parmigiana
26137143,"Salmon, coated, fried, made without fat"
41310160,"Stewed chickpeas, with potatoes, Puerto Rican style"
58146371,"Pasta with tomato-based sauce, seafood, and added vegetables, restaurant"
75656020,"Vegetable soup, chunky style"
75317012,"Vegetables, stew type, cooked, made with butter"
51122000,"Bread, reduced calorie and/or high fiber, white or NFS"
53386000,"Pie, pudding, flavors other than chocolate"
56200500,"Buckwheat groats, fat not added in cooking"
72202010,Broccoli casserole with noodles
57341200,Cereal (Kellogg's Smart Start Strong)
92130000,"Coffee, pre-lightened and pre-sweetened with sugar"
54408432,"Pretzels, soft, ready-to-eat, topped with cheese"
75409020,"Cauliflower, batter-dipped, fried"
57316300,Cereal (Health Valley Oat Bran Flakes)
51404500,"Bagel, pumpernickel"
58134640,"Tortellini, cheese-filled, meatless, with vinaigrette dressing"
27418310,"Corned beef with tomato sauce and onion, Puerto Rican style"
75220012,"Okra, cooked, from frozen, fat not added in cooking"
56203055,"Oatmeal, regular or quick, made with water, NS as to fat added in cooking"
27564030,"Frankfurter or hot dog sandwich, NFS, plain, on whole wheat bread"
28355430,"Shrimp soup, cream of, prepared with water"
11513300,"Chocolate milk, made from dry mix with fat free milk"
13210290,"Pudding, flavors other than chocolate, low calorie, containing artificial sweetener, NS as to from dry mix or ready-to-eat"
57110000,Cereal (Kellogg's All-Bran Bran Buds)
11813000,"Milk, dry, not reconstituted, fat free (skim)"
93301205,Brandy and cola
26109121,"Cod, baked or broiled, made with butter"
62101000,"Fruit, dried, NFS, uncooked"
81105500,Butter-vegetable oil blend
11710351,"Infant formula, ready-to-feed (Similac Advance)"
72125218,"Spinach, cooked, from fresh, made with butter"
81101500,"Light butter, stick, salted"
25170310,"Hog maws, cooked"
11710927,"Infant formula, powder, made with tap water (Gerber Good Start Protect)"
75450600,"Vegetable combination, including carrots, broccoli, and/or dark-green leafy; cooked, with butter sauce"
41812850,Vegetarian stroganoff
91501050,Gelatin dessert with cream cheese
75226103,"Peppers, hot, cooked, from canned, fat not added in cooking"
58130150,"Lasagna, with chicken or turkey, and spinach"
92611100,Oatmeal beverage with milk
27160100,"Meatballs, NS as to type of meat, with sauce"
24122160,"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw"
58146351,"Pasta with tomato-based sauce, poultry, and added vegetables, restaurant"
91708150,"Yogurt covered fruit snacks candy, with added vitamin C"
26107133,"Catfish, coated, baked or broiled, made without fat"
26319121,"Shrimp, baked or broiled, made with butter"
57101000,Cereal (Kellogg's All-Bran)
51502010,"Roll, oatmeal"
27351040,"Biscayne codfish, Puerto Rican style"
72107200,"Collards, cooked, NS as to form, NS as to fat added in cooking"
58164560,"Rice, white, with soy-based sauce, NS as to fat added in cooking"
27311120,"Beef, potatoes, and vegetables, excluding carrots, broccoli, and dark-green leafy; no sauce"
75414013,"Mushrooms, from canned, creamed"
11513355,"Chocolate milk, made from reduced sugar mix with whole milk"
54102050,"Crackers, oatmeal"
75112500,"Leek, raw"
73102201,"Carrots, cooked, from fresh, NS as to fat added in cooking"
92101965,"Coffee, Cafe Mocha, decaffeinated"
27520160,"Bacon, chicken, and tomato club sandwich, on multigrain roll with lettuce and spread"
22601000,"Pork bacon, smoked or cured, cooked"
92100000,"Coffee, NS as to type"
27162060,Spaghetti sauce with meat and added vegetables
76209000,"Sweet potatoes, baby food, NS as to strained or junior"
32131050,"Egg omelet or scrambled egg, with cheese, meat, and dark-green vegetables, NS as to fat added in cooking"
56203125,"Oatmeal, instant, maple flavored, NS as to fat added in cooking"
26157123,"Whiting, baked or broiled, made without fat"
27540170,"Chicken patty sandwich, miniature, with spread"
28355420,"Shrimp soup, cream of, prepared with milk"
22311510,"Ham, smoked or cured, canned, lean and fat eaten"
75204980,"Beans, string, cooked, NS as to form, NS as to color, fat added in cooking, NS as to type of fat"
71405030,"Potato, hash brown, from dry mix"
26127110,"Perch, cooked, NS as to cooking method"
41103020,"Lima beans, dry, cooked, fat not added in cooking"
72125250,"Spinach, cooked, NS as to form, with cheese sauce"
25220435,"Bologna, made from any kind of meat, reduced sodium"
11321100,"Soy milk, light, chocolate"
11321200,"Soy milk, nonfat, chocolate"
13252500,"Barfi or Burfi, Indian dessert, made from milk and/or cream and/or Ricotta cheese"
11440020,"Dill dip, yogurt based"
75219035,"Mushrooms, cooked, from fresh, made with margarine"
26158014,"Tilapia, baked or broiled, made with cooking spray"
77316010,"Stuffed cabbage, with meat, Puerto Rican style"
22210300,"Pork, tenderloin, cooked, NS as to cooking method"
27540295,Buffalo chicken submarine sandwich
63109700,"Starfruit, raw"
26115160,"Flounder, steamed or poached"
41104013,"Pinto, calico, or red Mexican beans, dry, cooked, made with margarine"
27442110,"Chicken or turkey and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy"
27250400,Shrimp cake or patty
12350255,"Vegetable dip, light"
27341055,"Chicken or turkey, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce"
75222022,"Parsnips, cooked, made with butter"
58117310,"Kibby, Puerto Rican style"
27450310,Lomi salmon
93301500,Frozen daiquiri
72125214,"Spinach, cooked, NS as to form, made with oil"
41420410,"Teriyaki sauce, reduced sodium"
53117100,"Cake or cupcake, spice, without icing or filling"
14107060,"Cheese, Mozzarella, nonfat or fat free"
63137130,"Pear, cooked or canned, in heavy syrup"
95110020,"Nutritional drink or shake, high protein, ready-to-drink (Slim Fast)"
58131110,"Ravioli, NS as to filling, with tomato sauce"
22101420,"Pork chop, battered, fried, lean only eaten"
92193000,"Coffee, instant, pre-lightened and pre-sweetened with sugar, not reconstituted"
23333100,"Squirrel, cooked"
75234000,"Turnip, cooked, NS as to form, NS as to fat added in cooking"
58146363,"Pasta with tomato-based sauce and seafood, ready-to-heat"
11513150,"Chocolate milk, made from dry mix with reduced fat milk"
81101520,"Light butter, whipped, tub, salted"
54403086,"Popcorn, ready-to-eat packaged, butter flavored, light"
63133100,"Papaya, cooked or canned, in sugar or syrup"
41205040,"Refried beans, canned, low sodium"
75102500,"Beets, raw"
72119212,"Kale, cooked, from frozen, fat not added in cooking"
24103080,"Chicken, NS as to part, grilled with sauce, skin not eaten"
93401100,"Wine, rice"
11720620,"Infant formula, NS as to form (Gerber Graduates Soy)"
58101735,Taco or tostada with chicken and beans
51134000,"Bread, sweet potato"
41812510,"Tofu and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, with soy-based sauce"
32400100,"Egg white, omelet, scrambled, or fried, with cheese, fat added in cooking"
55100005,"Pancakes, NFS"
63103110,"Apricot, cooked or canned, NS as to sweetened or unsweetened; sweetened, NS as to type of sweetener"
24107071,"Chicken, NS as to part, fried, coated, skin / coating not eaten"
75403200,"Beans, string, green, cooked, Szechuan-style"
53223100,"Cookie, granola"
55301025,"French toast, gluten free"
13210180,"Pudding, Mexican bread"
75208300,"Bitter melon, cooked, fat not added in cooking"
71970120,"Starchy vegetables, including tannier, white sweet potato and yam, with green or ripe plantains, Puerto Rican style"
73102231,"Carrots, cooked, from fresh, creamed"
93301214,Vodka and cola
14620330,Topping from meat and vegetable pizza
26158034,"Tilapia, coated, fried, made with cooking spray"
28154010,"Shrimp and vegetables in sauce with noodles, diet frozen meal"
71507030,"Potato, baked, peel not eaten, with chili"
33001200,"Egg substitute, vegetable flavored, omelet, scrambled, or fried, fat added in cooking"
33001210,"Egg substitute, vegetable flavored, omelet, scrambled, or fried, fat not added in cooking"
27450660,"Shellfish mixture and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce"
23203120,"Veal chop, broiled, lean only eaten"
75202021,"Asparagus, cooked, from fresh, fat added in cooking, NS as to type of fat"
75217520,"Hominy, cooked, fat added in cooking"
27141035,Spaghetti sauce with poultry and added vegetables
26117160,"Haddock, steamed or poached"
55200090,"Waffle, gluten free, from frozen"
58160670,"Rice, white, with carrots, dark green vegetables, and tomatoes and/or tomato-based sauce, NS as to fat added in cooking"
32202025,"Egg, cheese and ham on bagel"
27510235,"Cheeseburger submarine sandwich with lettuce, tomato and spread"
76402000,"Green beans and potatoes, baby food, strained"
14640018,"Cheese sandwich, reduced fat American cheese, on whole wheat bread, no spread"
32400078,"Egg white omelet, scrambled, or fried, NS as to type of fat"
91746200,M&M's Pretzel Chocolate Candies
92513010,"Fruit flavored smoothie drink, frozen, light, no dairy"
72107210,"Collards, cooked, NS as to form, fat not added in cooking"
75204967,"Beans, string, cooked, from frozen, NS as to color, made with butter"
28310160,"Beef broth, with tomato, home recipe"
75216213,"Corn, white, cooked, from canned, fat not added in cooking"
11513360,"Chocolate milk, made from reduced sugar mix with reduced fat milk"
11513365,"Chocolate milk, made from reduced sugar mix with low fat milk"
28340700,Bird's nest soup
63115140,"Cherries, sweet, cooked or canned, in light syrup"
22201010,"Pork steak or cutlet, NS as to cooking method, lean and fat eaten"
67114000,"Pears and pineapple, baby food, NS as to strained or junior"
74605010,"Tomato rice soup, prepared with water"
58165070,"Rice, white, with vegetables, soy-based sauce, fat not added in cooking"
77316600,Eggplant and meat casserole
92101975,"Coffee, Cafe Mocha, decaffeinated, with non-dairy milk"
26109144,"Cod, coated, fried, made with cooking spray"
41106120,"Red kidney beans, canned, drained, low sodium, fat not added in cooking"
41107020,"Soybeans, dry, cooked, NS as to fat added in cooking"
53450300,"Turnover or dumpling, berry"
14640155,"Grilled cheese sandwich, reduced fat American cheese, on white bread"
58101725,Taco or tostada with beans and sour cream
32105190,"Egg casserole with bread, cheese, milk and meat"
56203600,"Oatmeal, multigrain, NS as to fat added in cooking"
32130420,"Egg omelet or scrambled egg, with tomatoes, NS as to fat added in cooking"
58146353,"Pasta with tomato-based sauce, poultry, and added vegetables, ready-to-heat"
27211300,"Beef, roast, hash"
51421000,"Roll, pumpernickel"
58164840,"Rice, brown, with gravy, fat not added in cooking"
75202013,"Asparagus, cooked, from canned, fat not added in cooking"
57305215,Cereal (Malt-O-Meal Frosted Mini Spooners)
58145140,Macaroni or noodles with cheese and tomato
41420200,Natto
74504020,"Tomato and okra, cooked, fat added in cooking, NS as to type of fat"
75216224,"Corn, white, cooked, NS as to form, made with oil"
91501090,"Gelatin dessert with fruit, vegetable, and nuts"
31110010,"Egg, yolk only, raw"
26317121,"Scallops, baked or broiled, fat not added in cooking"
75223034,"Peas, cowpeas, field peas, or blackeye peas, not dried, cooked, from canned, made with butter"
27564243,"Frankfurter or hot dog sandwich, chicken and/or turkey, plain, on whole grain white bun"
27420390,"Pork chow mein or chop suey, no noodles"
11513395,"Chocolate milk, made from no sugar added dry mix with non-dairy milk (Nesquik)"
11710354,"Infant formula, liquid concentrate, made with tap water (Similac Advance)"
75417032,"Peas, cooked, from frozen, with tomato sauce"
21410120,"Beef, stew meat, cooked, lean only eaten"
67404000,"Fruit dessert, baby food, NS as to strained or junior"
67250150,"Mixed fruit juice with lowfat yogurt, baby food"
67104000,"Applesauce and apricots, baby food, NS as to strained or junior"
67404300,"Blueberry yogurt dessert, baby food, strained"
75204960,"Beans, string, cooked, NS as to form, NS as to color, made with oil"
75204966,"Beans, string, cooked, from frozen, NS as to color, made with oil"
73420200,"Sweet potato tots, school"
51302500,"Muffin, English, wheat bran"
91304070,"Topping, peanut butter, thick, fudge type"
24137311,"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten"
41108030,"Mung beans, canned, drained, NS as to fat added in cooking"
56207027,"Cream of wheat, regular or quick, made with non-dairy milk, fat added in cooking"
11460400,"Yogurt, frozen, chocolate, nonfat milk, with low-calorie sweetener"
41103090,"Pink beans, canned, drained, fat added in cooking"
75209052,"Brussels sprouts, cooked, from frozen, made with margarine"
75216053,"Corn, from canned, NS as to color, cream style"
71103140,"Potato, boiled, from fresh, peel eaten, made with butter"
75219036,"Mushrooms, cooked, from frozen, made with oil"
72107203,"Collards, cooked, from canned, NS as to fat added in cooking"
72128203,"Turnip greens, cooked, from canned, NS as to fat added in cooking"
55212000,"Waffle, whole grain, reduced fat"
75340300,Pinacbet
58146672,"Pasta, whole grain, with tomato-based sauce, seafood, and added vegetables, home recipe"
92101935,"Frozen coffee drink, decaffeinated, with whipped cream"
54408405,"Pretzels, soft, ready-to-eat, NFS"
13160160,"Fat free ice cream, no sugar added, flavors other than chocolate"
55203000,"Waffle, fruit"
28340210,"Chicken rice soup, Puerto Rican style"
75217490,"Hominy, cooked, NS as to fat added in cooking"
14650150,Cheese sauce made with lowfat cheese
75217500,"Hominy, cooked, fat not added in cooking"
